,length,width,curb-weight,engine-size,horsepower,make,fuel-type,aspiration,drive-wheels,price
29,175.4,65.2,2304.0,110.0,86.0,honda,gas,std,fwd,8845.0
30,175.4,62.5,2372.0,110.0,86.0,honda,gas,std,fwd,10295.0
31,175.4,65.2,2465.0,110.0,101.0,honda,gas,std,fwd,12945.0
32,169.1,66.0,2293.0,110.0,100.0,honda,gas,std,fwd,10345.0
33,199.6,69.6,4066.0,258.0,176.0,jaguar,gas,std,rwd,32250.0
34,159.1,64.2,1890.0,91.0,68.0,mazda,gas,std,fwd,5195.0
35,159.1,64.2,1900.0,91.0,68.0,mazda,gas,std,fwd,6095.0
36,159.1,64.2,1905.0,91.0,68.0,mazda,gas,std,fwd,6795.0
37,166.8,64.2,1945.0,91.0,68.0,mazda,gas,std,fwd,6695.0
38,166.8,64.2,1950.0,91.0,68.0,mazda,gas,std,fwd,7395.0
39,169.0,65.7,2380.0,70.0,101.0,mazda,gas,std,rwd,10945.0
40,169.0,65.7,2380.0,70.0,101.0,mazda,gas,std,rwd,11845.0
41,169.0,65.7,2385.0,70.0,101.0,mazda,gas,std,rwd,13645.0
42,169.0,65.7,2500.0,80.0,135.0,mazda,gas,std,rwd,15645.0
43,177.8,66.5,2385.0,122.0,84.0,mazda,gas,std,fwd,8845.0
44,177.8,66.5,2410.0,122.0,84.0,mazda,gas,std,fwd,8495.0
45,177.8,66.5,2385.0,122.0,84.0,mazda,gas,std,fwd,10595.0
46,177.8,66.5,2410.0,122.0,84.0,mazda,gas,std,fwd,10245.0
47,177.8,66.5,2425.0,122.0,84.0,mazda,gas,std,fwd,11245.0
48,175.0,66.1,2670.0,140.0,120.0,mazda,gas,std,rwd,18280.0
49,190.9,70.3,3515.0,183.0,123.0,mercedes-benz,diesel,turbo,rwd,25552.0
50,190.9,70.3,3750.0,183.0,123.0,mercedes-benz,diesel,turbo,rwd,28248.0
51,187.5,70.3,3495.0,183.0,123.0,mercedes-benz,diesel,turbo,rwd,28176.0
52,202.6,71.7,3770.0,183.0,123.0,mercedes-benz,diesel,turbo,rwd,31600.0
53,180.3,70.5,3685.0,234.0,155.0,mercedes-benz,gas,std,rwd,35056.0
54,157.3,64.4,1918.0,92.0,68.0,mitsubishi,gas,std,fwd,5389.0
55,157.3,64.4,1944.0,92.0,68.0,mitsubishi,gas,std,fwd,6189.0
56,157.3,64.4,2004.0,92.0,68.0,mitsubishi,gas,std,fwd,6669.0
57,157.3,63.8,2145.0,98.0,102.0,mitsubishi,gas,turbo,fwd,7689.0
58,173.0,65.4,2370.0,110.0,116.0,mitsubishi,gas,turbo,fwd,9959.0
59,173.0,65.4,2328.0,122.0,88.0,mitsubishi,gas,std,fwd,8499.0
60,172.4,65.4,2365.0,122.0,88.0,mitsubishi,gas,std,fwd,6989.0
61,172.4,65.4,2405.0,122.0,88.0,mitsubishi,gas,std,fwd,8189.0
62,172.4,65.4,2403.0,110.0,116.0,mitsubishi,gas,turbo,fwd,9279.0
63,172.4,65.4,2403.0,110.0,116.0,mitsubishi,gas,std,fwd,9279.0
64,165.3,63.8,1889.0,97.0,69.0,nissan,gas,std,fwd,5499.0
65,165.3,63.8,2017.0,103.0,55.0,nissan,diesel,std,fwd,7099.0
66,165.3,63.8,1918.0,97.0,69.0,nissan,gas,std,fwd,6649.0
67,165.3,63.8,1938.0,97.0,69.0,nissan,gas,std,fwd,6849.0
68,170.2,63.8,2024.0,97.0,69.0,nissan,gas,std,fwd,7349.0
69,165.3,63.8,1951.0,97.0,69.0,nissan,gas,std,fwd,7299.0
70,165.6,63.8,2028.0,97.0,69.0,nissan,gas,std,fwd,7799.0
71,165.3,63.8,1971.0,97.0,69.0,nissan,gas,std,fwd,7499.0
72,170.2,63.8,2037.0,97.0,69.0,nissan,gas,std,fwd,7999.0
73,162.4,63.8,2008.0,97.0,69.0,nissan,gas,std,fwd,8249.0
74,173.4,65.2,2324.0,120.0,97.0,nissan,gas,std,fwd,8949.0
75,173.4,65.2,2302.0,120.0,97.0,nissan,gas,std,fwd,9549.0
76,181.7,66.5,3095.0,181.0,152.0,nissan,gas,std,fwd,13499.0
77,184.6,66.5,3296.0,181.0,152.0,nissan,gas,std,fwd,14399.0
78,184.6,66.5,3060.0,181.0,152.0,nissan,gas,std,fwd,13499.0
79,170.7,67.9,3071.0,181.0,160.0,nissan,gas,std,rwd,17199.0
80,170.7,67.9,3139.0,181.0,200.0,nissan,gas,turbo,rwd,19699.0
81,178.5,67.9,3139.0,181.0,160.0,nissan,gas,std,rwd,18399.0
82,186.7,68.4,3020.0,120.0,97.0,peugot,gas,std,rwd,11900.0
83,186.7,68.4,3197.0,152.0,95.0,peugot,diesel,turbo,rwd,13200.0
84,186.7,68.4,3075.0,120.0,95.0,peugot,gas,std,rwd,15580.0
85,186.7,68.4,3252.0,152.0,95.0,peugot,diesel,turbo,rwd,16900.0
86,186.7,68.4,3075.0,120.0,97.0,peugot,gas,std,rwd,16630.0
87,186.7,68.4,3252.0,152.0,95.0,peugot,diesel,turbo,rwd,17950.0
88,186.7,68.3,3130.0,134.0,142.0,peugot,gas,turbo,rwd,18150.0
89,157.3,63.8,1918.0,90.0,68.0,plymouth,gas,std,fwd,5572.0
90,157.3,63.8,2128.0,98.0,102.0,plymouth,gas,turbo,fwd,7957.0
91,157.3,63.8,1967.0,90.0,68.0,plymouth,gas,std,fwd,6229.0
92,167.3,63.8,1989.0,90.0,68.0,plymouth,gas,std,fwd,6692.0
93,167.3,63.8,2191.0,98.0,68.0,plymouth,gas,std,fwd,7609.0
94,174.6,64.6,2535.0,122.0,88.0,plymouth,gas,std,fwd,8921.0
95,168.9,68.3,2778.0,151.0,143.0,porsche,gas,std,rwd,22018.0
96,186.6,66.5,2658.0,121.0,110.0,saab,gas,std,fwd,11850.0
97,186.6,66.5,2695.0,121.0,110.0,saab,gas,std,fwd,12170.0
98,186.6,66.5,2707.0,121.0,110.0,saab,gas,std,fwd,15040.0
99,186.6,66.5,2758.0,121.0,110.0,saab,gas,std,fwd,15510.0
100,186.6,66.5,2808.0,121.0,160.0,saab,gas,turbo,fwd,18150.0
101,186.6,66.5,2847.0,121.0,160.0,saab,gas,turbo,fwd,18620.0
102,156.9,63.4,2050.0,97.0,69.0,subaru,gas,std,fwd,5118.0
103,157.9,63.6,2120.0,108.0,73.0,subaru,gas,std,fwd,7053.0
104,157.3,63.8,2240.0,108.0,73.0,subaru,gas,std,4wd,7603.0
105,172.0,65.4,2145.0,108.0,82.0,subaru,gas,std,fwd,7126.0
106,172.0,65.4,2190.0,108.0,82.0,subaru,gas,std,fwd,7775.0
107,172.0,65.4,2340.0,108.0,94.0,subaru,gas,std,fwd,9960.0
108,172.0,65.4,2385.0,108.0,82.0,subaru,gas,std,4wd,9233.0
109,172.0,65.4,2510.0,108.0,111.0,subaru,gas,turbo,4wd,11259.0
110,173.5,65.4,2290.0,108.0,82.0,subaru,gas,std,fwd,7463.0
111,173.5,65.4,2455.0,108.0,94.0,subaru,gas,std,fwd,10198.0
112,173.6,65.4,2420.0,108.0,82.0,subaru,gas,std,4wd,8013.0
113,173.6,65.4,2650.0,108.0,111.0,subaru,gas,turbo,4wd,11694.0
114,158.7,63.6,1985.0,92.0,62.0,toyota,gas,std,fwd,5348.0
115,158.7,63.6,2040.0,92.0,62.0,toyota,gas,std,fwd,6338.0
116,158.7,63.6,2015.0,92.0,62.0,toyota,gas,std,fwd,6488.0
117,169.7,63.6,2280.0,92.0,62.0,toyota,gas,std,fwd,6918.0
118,169.7,63.6,2290.0,92.0,62.0,toyota,gas,std,4wd,7898.0
119,169.7,63.6,3110.0,92.0,62.0,toyota,gas,std,4wd,8778.0
120,166.3,64.4,2081.0,98.0,70.0,toyota,gas,std,fwd,6938.0
121,166.3,64.4,2109.0,98.0,70.0,toyota,gas,std,fwd,7198.0
122,166.3,64.4,2275.0,110.0,56.0,toyota,diesel,std,fwd,7898.0
123,166.3,64.4,2275.0,110.0,56.0,toyota,diesel,std,fwd,7788.0
124,166.3,64.4,2094.0,98.0,70.0,toyota,gas,std,fwd,7738.0
125,166.3,64.4,2122.0,98.0,70.0,toyota,gas,std,fwd,8358.0
126,166.3,64.4,2140.0,98.0,70.0,toyota,gas,std,fwd,9258.0
127,168.7,64.0,2169.0,98.0,70.0,toyota,gas,std,rwd,8058.0
128,168.7,64.0,2204.0,98.0,70.0,toyota,gas,std,rwd,8238.0
129,168.7,64.0,2265.0,98.0,112.0,toyota,gas,std,rwd,9298.0
130,168.7,64.0,2300.0,98.0,112.0,toyota,gas,std,rwd,9538.0
131,176.2,65.6,2540.0,146.0,116.0,toyota,gas,std,rwd,8449.0
132,176.2,65.6,2536.0,146.0,116.0,toyota,gas,std,rwd,9639.0
133,176.2,65.6,2551.0,146.0,116.0,toyota,gas,std,rwd,9989.0
134,176.2,65.6,2679.0,146.0,116.0,toyota,gas,std,rwd,11199.0
135,176.2,65.6,2714.0,146.0,116.0,toyota,gas,std,rwd,11549.0
136,176.2,65.6,2975.0,146.0,116.0,toyota,gas,std,rwd,17669.0
137,175.6,66.5,2326.0,122.0,92.0,toyota,gas,std,fwd,8948.0
138,175.6,66.5,2480.0,110.0,73.0,toyota,diesel,turbo,fwd,10698.0
139,175.6,66.5,2414.0,122.0,92.0,toyota,gas,std,fwd,9988.0
140,175.6,66.5,2414.0,122.0,92.0,toyota,gas,std,fwd,10898.0
141,175.6,66.5,2458.0,122.0,92.0,toyota,gas,std,fwd,11248.0
142,183.5,67.7,2976.0,171.0,161.0,toyota,gas,std,rwd,16558.0
143,183.5,67.7,3016.0,171.0,161.0,toyota,gas,std,rwd,15998.0
144,187.8,66.5,3131.0,171.0,156.0,toyota,gas,std,rwd,15690.0
145,171.7,65.5,2261.0,97.0,52.0,volkswagen,diesel,std,fwd,7775.0
146,171.7,65.5,2209.0,109.0,85.0,volkswagen,gas,std,fwd,7975.0
147,171.7,65.5,2264.0,97.0,52.0,volkswagen,diesel,std,fwd,7995.0
148,171.7,65.5,2212.0,109.0,85.0,volkswagen,gas,std,fwd,8195.0
149,171.7,65.5,2275.0,109.0,85.0,volkswagen,gas,std,fwd,8495.0
150,171.7,65.5,2319.0,97.0,68.0,volkswagen,diesel,turbo,fwd,9495.0
151,171.7,65.5,2300.0,109.0,100.0,volkswagen,gas,std,fwd,9995.0
152,165.7,64.0,2221.0,109.0,90.0,volkswagen,gas,std,fwd,9980.0
153,188.8,67.2,2912.0,141.0,114.0,volvo,gas,std,rwd,12940.0
154,188.8,67.2,3034.0,141.0,114.0,volvo,gas,std,rwd,13415.0
155,188.8,67.2,2935.0,141.0,114.0,volvo,gas,std,rwd,15985.0
156,188.8,67.2,3042.0,141.0,114.0,volvo,gas,std,rwd,16515.0
157,188.8,67.2,3045.0,130.0,162.0,volvo,gas,turbo,rwd,18420.0
158,188.8,67.2,3157.0,130.0,162.0,volvo,gas,turbo,rwd,18950.0
159,188.8,68.9,2952.0,141.0,114.0,volvo,gas,std,rwd,16845.0
160,188.8,68.8,3049.0,141.0,160.0,volvo,gas,turbo,rwd,19045.0
161,188.8,68.9,3012.0,173.0,134.0,volvo,gas,std,rwd,21485.0
162,188.8,68.9,3217.0,145.0,106.0,volvo,diesel,turbo,rwd,22470.0
163,188.8,68.9,3062.0,141.0,114.0,volvo,gas,turbo,rwd,22625.0
